bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 8 0.007109 10274.445505 10289.454853 6437.066930
1 17 0.007540 4853.700660 4864.238322 5603.947358
2 16 0.007948 5099.957501 5107.405077 4858.073720
3 16 0.008428 3611.205350 3637.949942 4047.761825
4 16 0.009062 3931.627150 3898.773096 3110.953069
5 24 0.009404 2518.548634 2540.756118 2670.694285
6 5 0.010053 1183.166703 1192.255914 1960.228519
7 48 0.010488 2075.815706 2083.515589 1571.384379
8 52 0.011302 948.885040 956.278219 1007.810225
9 12 0.011788 666.586858 678.447621 759.145355
10 73 0.012661 570.450449 572.763850 441.438508
11 56 0.013399 305.311527 307.956466 270.060481
12 56 0.014118 155.315999 156.193565 162.466829
13 85 0.014919 82.524633 82.633527 89.259999
14 104 0.015855 47.500531 47.583527 42.450374
15 112 0.016716 21.045411 20.993120 20.542826
16 105 0.017749 9.135298 9.343760 8.169266
17 152 0.018521 4.348978 4.277033 3.953511
18 145 0.019564 1.549179 1.614300 1.409338
19 236 0.020658 0.441733 0.484650 0.449970
20 273 0.022004 0.116396 0.140567 0.101244
21 332 0.023389 0.021548 0.029787 0.019786
22 337 0.024805 0.003664 0.008139 0.003363
23 368 0.026076 0.000724 0.002261 0.000627
24 517 0.027581 0.000087 0.000678 0.000077
25 540 0.029145 0.000010 0.000203 0.000008
26 685 0.030811 0.000001 0.000056 0.000001
27 757 0.032566 0.000000 0.000014 0.000000
28 989 0.034451 0.000000 0.000003 0.000000
29 1064 0.036439 0.000000 0.000000 0.000000
30 1277 0.038477 0.000000 0.000000 0.000000
31 1601 0.040717 0.000000 0.000000 0.000000
32 1801 0.043096 0.000000 0.000000 0.000000
33 2157 0.045569 0.000000 0.000000 0.000000
34 2477 0.048160 0.000000 0.000000 0.000000
35 2969 0.050893 0.000000 0.000000 0.000000
36 3462 0.053791 0.000000 0.000000 0.000000
37 4173 0.056863 0.000000 0.000000 0.000000
38 5045 0.060185 0.000000 0.000000 0.000000
39 5794 0.063688 0.000000 0.000000 0.000000
40 6881 0.067339 0.000000 0.000000 0.000000
41 8098 0.071214 0.000000 0.000000 0.000000
42 9585 0.075295 0.000000 0.000000 0.000000
43 11286 0.079619 0.000000 0.000000 0.000000
44 13358 0.084185 0.000000 0.000000 0.000000
45 15758 0.089016 0.000000 0.000000 0.000000
46 18910 0.094158 0.000000 0.000000 0.000000
47 21890 0.099576 0.000000 0.000000 0.000000
48 25991 0.105268 0.000000 0.000000 0.000000
49 31106 0.111339 0.000000 0.000000 0.000000
50 36295 0.117753 0.000000 0.000000 0.000000
51 43006 0.124502 0.000000 0.000000 0.000000
52 50771 0.131649 0.000000 0.000000 0.000000
53 60191 0.139212 0.000000 0.000000 0.000000
54 71044 0.147218 0.000000 0.000000 0.000000
55 84279 0.155692 0.000000 0.000000 0.000000
56 92415 0.164505 0.000000 0.000000 0.000000
57 91386 0.173911 0.000000 0.000000 0.000000
58 87204 0.183897 0.000000 0.000000 0.000000
59 79268 0.194425 0.000000 0.000000 0.000000
